source,title,summary,link,published_date,sentiment_label,sentiment_score
NewsAPI - BusinessLine,"Nifty Prediction Today – September 25, 2025: Nifty futures: Intraday trend unclear at the moment","Nifty 50 opens slightly lower, with top gainers Bharat Electronics and Hindalco Industries, and top losers Tata Motors and Asian Paints.",https://www.thehindubusinessline.com/portfolio/technical-analysis/nifty-prediction-today-september-25-2025-nifty-futures-intraday-trend-unclear-at-the-moment/article70091948.ece,2025-09-25T04:39:43Z,negative,0.9648690223693848
NewsAPI - BusinessLine,"Nifty hovers near 25,000 mark as global headwinds persist","Markets open lower, Nifty struggles near 25,000; investors advised to maintain cautious buy-on-dips strategy amid global volatility.",https://www.thehindubusinessline.com/markets/nifty-hovers-near-25000-mark-as-global-headwinds-persist/article70091926.ece,2025-09-25T04:36:24Z,negative,0.959846019744873
NewsAPI - Ndtvprofit.com,Adani Power Shares Surge Nearly 7%; Adani Total Up 5% As Group Stocks Rally,"Shares of Adani Power rose as much as 6.6% on Thursday. The scrip leads the pack with the most gains as Adani stocks rally in trade. Adani Total also closely follows these gains, as it rose nearly 5% intraday. Adani Power has marked gains of nearly 8% this we…",https://www.ndtvprofit.com/markets/adani-power-shares-surge-nearly-7-adani-total-up-5-as-group-stocks-rally,2025-09-25T04:25:05Z,positive,0.9497236609458923
NewsAPI - The Times of India,"Sensex up 43 pts, Nifty above 25,050 as consumer stocks lift D-St mood","Indian equities traded flat on Thursday, recovering from early losses amid gains in consumption-focused stocks fueled by festive season expectations. Foreign outflows and U.S. visa restrictions created caution in the market. While broader markets showed posit…",https://economictimes.indiatimes.com/markets/stocks/news/sensex-up-43-pts-nifty-above-25050-as-consumer-stocks-lift-d-st-mood/articleshow/124104328.cms,2025-09-25T04:06:12Z,negative,0.873306930065155
NewsAPI - The Times of India,"Nifty poised for breakout rally? BNP Paribas' Kunal Vora decodes FIIs, earnings and consumption bets","After India's equity market underperformed in 2025 due to factors like domestic slowdown and FII selling, optimism is cautiously returning. Policy support, improved liquidity, and tax cuts are expected to boost consumption and corporate earnings. While valuat…",https://economictimes.indiatimes.com/markets/expert-view/nifty-poised-for-breakout-rally-bnp-paribas-kunal-vora-decodes-fiis-earnings-and-consumption-bets/articleshow/124087633.cms,2025-09-25T03:30:00Z,positive,0.9518445730209351
NewsAPI - Ndtvprofit.com,Nifty Declines For Fourth Day: When Could The Bulls Make A Comeback?,"With three days of decline already completed since the confirmation candle, it is advised to wait another day or two for the pattern's implications to fully materialise.",https://www.ndtvprofit.com/markets/nifty-declines-for-fourth-day-when-could-the-bulls-make-a-comeback-check-key-levels-and-stock-of-the-day-syrma-sgs-technology,2025-09-25T02:16:46Z,neutral,0.5482123494148254
NewsAPI - Ndtvprofit.com,All You Need To Know Going Into Trade This Thursday,"India's benchmark equity indices closed in the red for the fourth straight session on Wednesday. The NSE Nifty 50 ended 0.45% lower at 25,056.90 and the BSE Sensex closed 0.47% down at 81,715.63.",https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-sept-25-3,2025-09-25T01:26:29Z,negative,0.9711259007453918
NewsAPI - BusinessLine,"Day Trading Guide for September 25, 2025: Intraday supports, resistances for Nifty50 stocks","The Day Trading Guide provides key intraday support and resistance levels to watch for on Nifty Futures and widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, and SBI",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-september-25/article70089053.ece,2025-09-25T00:30:00Z,neutral,0.8963393568992615
NewsAPI - Ndtvprofit.com,"Nifty Support Slips To 24,900 As Bears Gain Upper Hand","The NSE Nifty 50 ended lower for the fourth straight session on Wednesday with Bajaj Broking Research seeing immediate support at 25,100–24,900 aligning with the confluence of the 20-day and 50-day exponential moving averages.",https://www.ndtvprofit.com/markets/trade-setup-for-sept-25-nifty-support-slips-to-24900-as-bears-gain-upper-hand,2025-09-24T16:26:02Z,negative,0.972456693649292
NewsAPI - The Times of India,Ahead of Market: 10 things that will decide stock market action on Thursday,"The Indian market fell for a fourth straight session on Wednesday, with financial and IT shares leading losses on the Sensex and Nifty after worries over U.S. H-1B visa rules kept investors unsettled.",https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-thursday/articleshow/124095669.cms,2025-09-24T15:46:45Z,negative,0.9736368656158447
NewsAPI - Ndtvprofit.com,Gold Vs Equities: Busting Myths-Does Yellow Metal Still Shine Over 'Safe Haven' Appeal?,"Gold Vs Equities: Gold has long been considered a ""safe haven"" investment. Its tangible nature and stability appeal to conservative investors, especially during market downturns or financial crises. Equities, while riskier, have historically offered far highe…",https://www.ndtvprofit.com/personal-finance/is-gold-really-the-safest-investment-myths-and-facts-every-investor-should-know,2025-09-24T14:52:19Z,neutral,0.6437216997146606
NewsAPI - BusinessLine,SBI launches first SIF Magnum Hybrid Long Short Fund,"SBI Mutual Fund launches Magnum Hybrid Long Short scheme targeting 8-11% returns, offering innovative investment strategies for investors.",https://www.thehindubusinessline.com/markets/sbi-launches-first-sif-magnum-hybrid-long-short-fund/article70089302.ece,2025-09-24T14:04:53Z,neutral,0.59271639585495
NewsAPI - BusinessLine,"Markets extend four-day losing streak; IT, auto, realty under pressure","Indian markets slipped for the fourth straight session, with Sensex down 386 pts to 81,716 and Nifty falling 113 pts to 25,057 as rupee hit ₹88.8.",https://www.thehindubusinessline.com/markets/stock-markets/markets-extend-four-day-losing-streak-it-auto-realty-under-pressure/article70088737.ece,2025-09-24T11:54:46Z,negative,0.9727931022644043
NewsAPI - The Times of India,Rupee shielded by central bank intervention even as pressure lingers,The Indian rupee ended nearly flat on Wednesday as likely intervention by the Reserve Bank of India helped stave off pressure on the local unit amid worries over steep U.S. tariffs and a visa fee hike.,https://economictimes.indiatimes.com/markets/forex/rupee-shielded-by-central-bank-intervention-even-as-pressure-lingers/articleshow/124090316.cms,2025-09-24T10:38:31Z,negative,0.4872245192527771
NewsAPI - The Times of India,"Market Wrap: Nifty falls below 25,100 as D-St slide extends to day 4, Sensex sheds 380 pts on U.S. visa concerns","Indian equities fell for a fourth straight session on Wednesday, with financial and IT shares leading losses on the Sensex and Nifty after worries over U.S. H-1B visa rules kept investors unsettled.",https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-nifty-falls-below-25100-as-d-st-slide-extends-to-day-4-sensex-sheds-380-pts-on-u-s-visa-concerns/articleshow/124089915.cms,2025-09-24T10:21:57Z,negative,0.9744660258293152
NewsAPI - Yahoo Entertainment,Markets sold off after Powell said six words investors don’t want to hear: ‘Equity prices are fairly highly valued’,Investors are wary of any sign that the Fed thinks “irrational exuberance”—as former Fed chair Alan Greenspan once called it—has kicked in.,https://finance.yahoo.com/news/markets-selling-off-powell-said-101547001.html,2025-09-24T10:15:47Z,negative,0.6202811002731323
NewsAPI - Fortune,Markets are selling off after the Fed’s Powell said six words investors don’t want to hear: ‘Equity prices are fairly highly valued’,"The Fed chairman warned that stocks are “highly valued.” U.S. stocks dropped, with tech leading losses on skepticism over Nvidia’s $100 billion OpenAI deal.",https://fortune.com/2025/09/24/stocks-market-selling-the-fed-powell-equity-prices-are-fairly-highly-valued/,2025-09-24T10:15:47Z,negative,0.9649408459663391
NewsAPI - Fortune,Trump says climate change is ‘the greatest con job ever’ but many CEOs know the science remains the same,Also: All the news and watercooler chat from Fortune.,https://fortune.com/2025/09/24/trump-climate-change-greatest-con-job-ceos-science/,2025-09-24T08:48:04Z,neutral,0.9310447573661804
NewsAPI - The Times of India,"Markets await earnings revival amid range-bound trading, says Manish Sonthalia","The Indian stock market is range-bound, influenced by earnings and policy. Manish Sonthalia suggests rate cuts could drive market overshoot, with earnings revival expected in the second half, boosted by government initiatives and the festive season. Consumpti…",https://economictimes.indiatimes.com/markets/expert-view/markets-await-earnings-revival-amid-range-bound-trading-says-manish-sonthalia/articleshow/124087962.cms,2025-09-24T08:43:02Z,positive,0.5263998508453369
NewsAPI - BusinessLine,Markets extend losses as weak rupee weigh on sentiment,"The Sensex fell 295.27 points or 0.36% to 81,806.83, while the Nifty 50 declined 78.60 points or 0.31% to 25,090.90",https://www.thehindubusinessline.com/markets/markets-extend-losses-as-weak-rupee-weigh-on-sentiment/article70087831.ece,2025-09-24T07:35:06Z,negative,0.9732248187065125
NewsAPI - Bloomberg,Indian auto stocks trounce Asian peers on Modi’s tax bonanza,"Indian auto stocks outperform Asian peers due to tax cuts, with analysts predicting further gains in demand acceleration.",https://www.bloomberg.com/news/articles/2025-09-24/indian-auto-stocks-trounce-asian-peers-on-modi-s-tax-bonanza,2025-09-24T06:58:25Z,positive,0.7805185317993164
NewsAPI - BusinessLine,"Nifty Prediction Today – September 24, 2025: Nifty futures: Might rebound","Nifty futures (September) can rise back to 25,300",https://www.thehindubusinessline.com/portfolio/technical-analysis/nifty-prediction-today-september-24-2025-nifty-futures-might-rebound/article70087389.ece,2025-09-24T04:47:02Z,positive,0.9388003349304199
